Grafik Titel (*),Beschreibung (*),Unterkategorie Level - 1 (*),Keywords (getrennt durch Komma),Artikelbild Dateiname1 (*),Artikelbild Dateiname2,Artikelbild Dateiname3,Artikelbild Dateiname4,Artikelbild Dateiname5,Wasserzeichen zu Bildern hinzufügen,Verfügbarkeit (*),Preis,Format,Rechte (*),Epoche (*),Jahr,Farbe,Artikelgröße (Länge),Artikelgröße (Breite),Artikelgröße (Höhe),Artikelgröße (Unit)
"Lagerauflösung","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Flohmarkt, Textplakat, Lagerabverkauf, schwarz-gelb, Plakat, Hochformat",1690577143869_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Der Jahrhundert Bankraub","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Werbung, Werbeplakat, Filmplakat, Held, Kino, blau",1690577144759_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Weingut Stein Rotwein","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Reisen, Tourismus, rechtefreies Plakat, Hochformat, Weingut, Herbst, weinrot, Weintrauben, Fremdenverkehr",1690577145227_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Tal der Krieger","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat rechtefrei, Filmplakat, Kino, Krieg, Kampf, Plakat, Feuer, rechtefreies Plakat, rechtefrei, Hochformat, Werbung, Werbeplakat",1690577145207_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Rock For Anarchy 2","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Hochformat, Links, Politisch, Punks, Demonstration",1690577145225_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Wiener Universal Versicherung “hoffentlich reiseversichert”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Versicherung, Plakat, Versicherungen, rechtefreies Plakat, Lebensversicherung, Hochformat, Unfallversicherung, Geldwesen, Kfz-Versicherung, Werbung, Reiseversicherung, Werbeplakat, blau, Finanzen, Schalter, Geld",1690577145810_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Kirat","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Sänger, Türkische Schlager, Plakat, rechtefreies Plakat, Hochformat, Musik, Veranstaltung, Konzert, Kultur, Jugendkultur, Pop",1690577145793_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Win Coach Rabel","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Hochformat, bunt, Erwachsenenbildung, Fortbildung, Plakat, rechtefreies Plakat",1690577147335_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Es ist Dein Urlaub – Paare Hochformat","Hier findest Du dieses Motiv auch als Querformat. Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Reisen, Tourismus, rechtefreies Plakat, rechtefrei, Sommer, Fremdenverkehr, Sonne, Urlaub, Strand, Plakat",1690577147974_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Votec Migralam","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Medizin, Hochformat, Pharma, Apotheke, Arzt, Medikamente, Plakat, rechtefreies Plakat, rechtefrei, Gesundheit",1690577148805_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Computer Spiel Lethal Assault","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Kinder, Jugendliche, Buben, Kinderzimmer, orange, bunt",1690577149524_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Demo “Expect Resistance”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Poster, Junge, Einwanderer, Flüchtling, Plakat, Immigrant, rechtefreies Plakat, Asylant, Hochformat, NGO, Jugendzimmer, NPO, blau, schwarz, Menschenrechte",1690577149522_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Votec Prodyn Energeticum","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Medikamente, Plakat, rechtefreies Plakat, rechtefrei, Gesundheit, Medizin, Hochformat, Pharma, Apotheke, Arzt",1690577150906_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Bio Bäckerei Kamper v2","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Werbeplakat, Semmeln, Einkauf, Supermarkt, Markt, Aktionsangebote, Plakat, Brot, rechtefreies Plakat, beige, Bio, sand, rechtefrei, Bäcker, Hochformat, Bäckerei, Werbung, creme",1690577150898_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Spielankündigung “KFV-FFC”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, Querformat, Veranstaltung, Sport, Fussball, Frauenfussball, Spielankündigung, Match, Turnier",1690577151095_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"NEIN zu Drogen","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Drogenentzug, Hochformat, Wachstube, Amt, Jugendzimmer, schwarz, rot, Poster, Junge, Sucht, Beamter, Plakat, Behörden, rechtefreies Plakat, Polizei, Drogen, Gesundheit, Alkohol",1690577151091_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Serbien Temple Saint Sava","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Hochformat, Fremdenverkehr, Plakat, Reisen, Tourismus, rechtefreies Plakat",1690577151647_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Anarchy Skull","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"bunt, Plakat, Hochformat, Links, Politisch, Punks, Demonstration, Anarchie, gelb",1690577151661_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Anarchie Mooswand","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Hochformat, Links, Politisch, Punks, grau, Demonstration, Anarchie, grün",1690577151951_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Es ist Dein Urlaub – Laufen (Querformat)","Auf Anfrage auch als 16, oder 24-Bogen-Plakat erhältlich. Hier findest Du dieses Motiv auch als Hochformat. Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"sand, Strand, Plakat, Städtereisen, Meer, Reisen, Tourismus, rechtefreies Plakat, rechtefrei, Querformat, Panorama, Fremdenverkehr, Urlaub, Sommer",1690577151952_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Serbien Kalemegdan Fortress","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Reisen, Tourismus, rechtefreies Plakat, Fremdenverkehr, Plakat",1690577151956_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Heinz Snowboards “make my day”","Siehe Bild",Poster,"Plakat, rechtefreies Plakat, Hochformat, Werbung, Werbeplakat, Querformat, Veranstaltung, Sport, snowboard, Wintersport",1690577151954_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Musical Die Reise","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Kultur, Jugendkultur, Musical, schwarz, lila, Plakat, rechtefreies Plakat, Hochformat, Musik, Veranstaltung, Konzert",1690577151960_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Salzburg Kulturwochen","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Oper, Plakat, Fremdenverkehr, Reisen, Tourismus, rechtefreies Plakat, Hochformat, Musik, Veranstaltung, Konzert, Klassik",1690577152311_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Karate Fight Night","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Sport, Kampfsport, Karate, Kampfkunst, Plakat, rechtefreies Plakat, Hochformat, Werbung, Werbeplakat, Kinder, Veranstaltung",1690577152316_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Lass Dich Nicht Fangen","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Sucht, rechtefreies Plakat, Rauchen, Zigaretten, Gesundheit, Hochformat, Kinder, Schule, Uni, Matura, Nichtraucher",1690577152318_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Karate Fight Night 2","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Kampfsport, Karate, Kampfkunst, Plakat, rechtefreies Plakat, Hochformat, Werbung, Werbeplakat, Kinder, Veranstaltung, Sport",1690577152546_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Red Wings Wien","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Reisen, Tourismus, rechtefreies Plakat, Querformat, Fluglinie, Fremdenverkehr, Plakat",1690577152313_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Winterhilfe für Flüchtlinge!","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Flüchtling, Immigrant, Asylant, Plakat, sand, Winter, rechtefreies Plakat, NGO, Weihnachten, Hochformat, NPO, Jugendzimmer, Menschenrechte, Poster, Junge, Einwanderer",1690577152554_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Karate Series A","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Hochformat, Werbung, Werbeplakat, Veranstaltung, Sport, Kampfsport, Karate, Kampfkunst, Plakat, rechtefreies Plakat",1690577153033_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Trixxi Cola light “Winter”","Auf Anfrage auch als 16-Bogen-Plakat erhältlich. Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Jugendkultur, schwarz, rot, Cola, Jugend, Winter, Limo, Getränk, Plakat, Limonade, Softdrink, rechtefreies Plakat, Weihnachten, Würstelstand, Werbung, Werbeplakat",1690577153039_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Littleyears  Produkt-Range Plakat","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Werbung, Werbeplakat, Babynahrung, Babypflege, Baby, Plakat, rechtefreies Plakat, Hochformat",1690577154336_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Bungee","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, bunt, Mensch, Sport",1690577154635_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Polizei Brutalität","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Hochformat, Links, Politisch, Punks, Demonstration",1690577155635_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Free-Club “beaver”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Jugendkultur, Pop, Sänger, Jugendzimmer, blau, Plakat, Event, rechtefreies Plakat, Party, Hochformat, Nightlife, Musik, Nachtclub, Veranstaltung, Bar, Konzert",1690577154948_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Speed Junkies Motor Club","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Hochformat, Totenkopf, Buben, skull, Veranstaltung, Jugendkultur, Rock, Band, Hardrock, Motor Club, Jugendzimmer, Plakat, blau, rechtefreies Plakat, schwarz",1690577156804_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Vitae Versicherungen Risikoversicherung","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Hochformat, Geldwesen, Werbung, Werbeplakat, Finanzen, Schalter, Geld, Versicherung, Versicherungen, Plakat, Lebensversicherung, rechtefreies Plakat",1690577157041_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Bach","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, Hochformat, Musik, Veranstaltung, Konzert, Klavier, Kultur, Piano, Klassik",1690577157314_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Hexen-Museum","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Werbeplakat, Plakat rechtefrei, Ausstellung, blau, Museum, Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Werbung",1690577157382_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Auktionshaus Berger Deutsche Meister","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Kunst, Landschaft, Ausstellung, Auktion",1690577157442_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Vielfalt","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"rechtefreies Plakat, Hochformat, Schule, Uni, Migration, Fremde, Gesellschaft, Ausländer, Plakat",1690577157430_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Comix Poster Awesome","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Jugendliche, Buben, Kinderzimmer, türkis, bunt, Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Kinder",1690577157450_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Top Line Gas","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Werbung, Werbeplakat, Installateur, Plakat, rechtefreies Plakat, rechtefrei, Hochformat",1690577157534_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Haushalt Reiniger Chlororex Hochformat","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Haushalt, Reinigungsmittel, Küche, Einkauf, grau, putzen, Plakat, blau, rechtefreies Plakat, rechtefrei, Hochformat, Werbung, Werbeplakat",1690577157586_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Parfümerie Schön (Hochformat)","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Supermarkt, Markt, lila, Parfümerie, rosa, Drogerie, Kosmetika, Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Werbung, Werbeplakat",1690577157702_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Polizei “Schutz-Schule”","Mit freundlicher Genehmigung der Landespolizeidirektion Wien. Darf nur in positivem Kontext und gemäß den Richtlinien der Bundespolizeidirektion verwendet werden! Bei Fragen diesbezüglichen bitte telefonisch melden, Danke. Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Polizei, Polizeieinsatz, Kommissariat, Wachstube, Imagekampagne, Vorbeugung, Verbrechen",1690577157699_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Internationaler Frauentag","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Politisch, Frauen, Feminismus, Plakat, rechtefreies Plakat, rechtefrei",1690577157996_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,